airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-06,Mumbai,Hyderabad,07:05:00,08:30,85,0.0,In-flight meal not included,4995
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,04:25,335,1.0,No Info,14714
Air India,2019-05-06,Kolkata,Banglore,12:00:00,18:30,1830,2.0,No Info,10151
Air India,2019-06-01,Delhi,Cochin,05:10:00,08:00,170,0.0,No Info,6094
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,23:35,395,1.0,No Info,14151
Indigo,2019-05-21,Delhi,Cochin,07:30:00,21:00,810,1.0,No Info,7006
Spicejet,2019-05-18,Chennai,Kolkata,08:20:00,10:35,135,0.0,No Info,3597
Air India,2019-05-06,Kolkata,Banglore,09:25:00,01:20,955,2.0,No Info,11458
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,19:50,345,1.0,In-flight meal not included,9899
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,18:00,1295,1.0,No Info,12692
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,12:00,1025,1.0,In-flight meal not included,10844
Spicejet,2019-05-18,Mumbai,Hyderabad,05:45:00,07:15,90,0.0,No check-in baggage included,1965
Indigo,2019-06-18,Kolkata,Banglore,21:25:00,00:05,160,0.0,No Info,4804
Air India,2019-03-24,Mumbai,Hyderabad,21:05:00,22:25,80,0.0,No Info,2575
Spicejet,2019-03-24,Banglore,New Delhi,20:30:00,23:20,170,0.0,No Info,5575
Multiple Carriers,2019-03-09,Delhi,Cochin,17:50:00,01:35,465,2.0,No Info,23583
Indigo,2019-04-09,Kolkata,Banglore,19:55:00,23:50,235,1.0,No Info,4226
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,23:35,1630,1.0,In-flight meal not included,8066
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,13:15,860,1.0,In-flight meal not included,11087
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,21:20,850,2.0,No Info,6197
Jet Airways,2019-03-09,Delhi,Cochin,05:25:00,04:25,1380,2.0,No Info,16914
Air India,2019-06-12,Kolkata,Banglore,09:10:00,13:15,245,1.0,No Info,8996
Spicejet,2019-05-24,Kolkata,Banglore,15:55:00,21:25,330,1.0,No Info,7804
Jet Airways,2019-03-12,Mumbai,Hyderabad,03:00:00,16:35,815,1.0,No Info,22294
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,19:00,1530,1.0,In-flight meal not included,10262
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25,875,2.0,No Info,12093
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,09:00,1445,1.0,In-flight meal not included,13712
Jet Airways,2019-06-15,Mumbai,Hyderabad,19:35:00,21:05,90,0.0,No Info,5678
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,10:05,910,1.0,In-flight meal not included,8529
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,09:20,730,1.0,In-flight meal not included,9663
Indigo,2019-03-15,Mumbai,Hyderabad,09:10:00,10:40,90,0.0,No Info,4049
Indigo,2019-05-06,Mumbai,Hyderabad,12:00:00,13:30,90,0.0,No Info,2754
Vistara,2019-04-27,Banglore,Delhi,21:00:00,23:50,170,0.0,No Info,5403
Air India,2019-05-06,Banglore,Delhi,13:20:00,16:10,170,0.0,No Info,5228
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,07:40,1420,1.0,No Info,22270
Air India,2019-03-24,Kolkata,Banglore,09:25:00,18:30,545,1.0,No Info,10493
Spicejet,2019-06-27,Banglore,Delhi,09:30:00,12:20,170,0.0,No check-in baggage included,3573
Air Asia,2019-04-21,Delhi,Cochin,07:55:00,13:25,330,1.0,No Info,7452
Indigo,2019-03-03,Kolkata,Banglore,10:10:00,12:55,165,0.0,No Info,6565
Multiple Carriers,2019-05-09,Delhi,Cochin,11:40:00,01:30,830,1.0,No Info,9021
Indigo,2019-04-27,Kolkata,Banglore,20:20:00,22:55,155,0.0,No Info,4804
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30,175,0.0,No Info,3925
Goair,2019-03-24,Kolkata,Banglore,06:35:00,14:25,470,1.0,No Info,4773
Air India,2019-04-06,Delhi,Cochin,05:10:00,08:00,170,0.0,No Info,4729
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,04:40,450,1.0,In-flight meal not included,8586
Indigo,2019-05-27,Delhi,Cochin,20:25:00,01:30,305,1.0,No Info,5054
Spicejet,2019-05-24,Chennai,Kolkata,08:20:00,10:35,135,0.0,No check-in baggage included,3543
Multiple Carriers,2019-04-24,Delhi,Cochin,07:10:00,16:10,540,1.0,In-flight meal not included,6093
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,19:00,1210,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,08:15,945,1.0,In-flight meal not included,8586
Jet Airways,2019-06-01,Delhi,Cochin,20:00:00,04:25,505,2.0,In-flight meal not included,15318
Air India,2019-06-27,Delhi,Cochin,09:45:00,23:00,795,1.0,No Info,8907
Air India,2019-06-24,Delhi,Cochin,03:50:00,19:15,925,1.0,No Info,8669
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,12:35,1615,2.0,No Info,15129
Air India,2019-03-24,Banglore,New Delhi,13:20:00,16:10,170,0.0,No Info,7276
Jet Airways,2019-05-03,Mumbai,Hyderabad,07:05:00,08:30,85,0.0,In-flight meal not included,4995
Multiple Carriers,2019-05-21,Delhi,Cochin,08:00:00,19:15,675,1.0,No Info,15058
Multiple Carriers,2019-05-18,Delhi,Cochin,09:15:00,19:15,600,1.0,No Info,8309
Indigo,2019-06-06,Delhi,Cochin,05:35:00,08:50,195,0.0,No Info,5601
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,19:50,1430,1.0,No Info,12681
Indigo,2019-03-27,Delhi,Cochin,10:45:00,01:35,890,1.0,No Info,6628
Jet Airways,2019-03-21,Delhi,Cochin,07:05:00,18:50,705,1.0,No Info,12767
Indigo,2019-04-03,Delhi,Cochin,02:00:00,07:25,325,1.0,No Info,4744
Spicejet,2019-06-01,Mumbai,Hyderabad,22:45:00,00:15,90,0.0,No check-in baggage included,1965
Air India,2019-05-18,Delhi,Cochin,12:30:00,09:25,1255,1.0,No Info,7480
Goair,2019-05-27,Delhi,Cochin,07:00:00,12:55,355,1.0,No Info,5752
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,19:45,1470,1.0,In-flight meal not included,5963
Air India,2019-05-12,Kolkata,Banglore,10:00:00,01:20,920,2.0,No Info,12140
Indigo,2019-03-03,Banglore,New Delhi,18:55:00,21:45,170,0.0,No Info,8855
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,19:00,600,1.0,No Info,14714
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,18:10,1515,1.0,In-flight meal not included,11134
Air India,2019-05-01,Kolkata,Banglore,09:25:00,13:45,1700,2.0,No Info,15532
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05:00,08:30,85,0.0,No Info,5678
Air India,2019-06-24,Banglore,Delhi,13:20:00,16:10,170,0.0,No Info,6961
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,15:05,1325,1.0,No Info,13067
Indigo,2019-06-03,Delhi,Cochin,23:30:00,04:35,305,1.0,No Info,11378
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,19:10,1365,1.0,No Info,13067
Indigo,2019-06-12,Delhi,Cochin,05:05:00,16:10,665,1.0,No Info,6818
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,18:15,705,1.0,In-flight meal not included,10844
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,19:00,1195,2.0,No Info,15129
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,22:20,755,1.0,No Info,10276
Air India,2019-05-21,Delhi,Cochin,22:00:00,19:15,1275,2.0,No Info,10231
Air India,2019-06-27,Mumbai,Hyderabad,21:05:00,22:25,80,0.0,No Info,3100
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,23:25,1625,1.0,No Info,9345
Multiple Carriers,2019-03-06,Delhi,Cochin,13:55:00,21:00,425,1.0,In-flight meal not included,15136
Air India,2019-06-03,Delhi,Cochin,13:20:00,07:40,1100,2.0,No Info,11911
Air India,2019-04-21,Banglore,Delhi,21:05:00,23:55,170,0.0,No Info,5228
Indigo,2019-06-15,Chennai,Kolkata,13:15:00,15:35,140,0.0,No Info,3597
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,13:15,375,1.0,No Info,19225
Indigo,2019-06-06,Banglore,Delhi,08:30:00,11:20,170,0.0,No Info,4823
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,22:55,920,1.0,No Info,6785
Air India,2019-05-12,Banglore,Delhi,17:00:00,19:45,165,0.0,No Info,5438
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,19:00,1210,1.0,No Info,14714
Air India,2019-05-09,Delhi,Cochin,07:05:00,09:25,1580,2.0,No Info,9347
Jet Airways,2019-06-18,Mumbai,Hyderabad,10:20:00,11:50,90,0.0,No Info,8040
Jet Airways,2019-05-21,Banglore,Delhi,06:00:00,08:45,165,0.0,In-flight meal not included,4030
Jet Airways,2019-05-21,Mumbai,Hyderabad,07:05:00,08:30,85,0.0,In-flight meal not included,4995
Air India,2019-06-01,Banglore,Delhi,21:05:00,23:55,170,0.0,No Info,5228
Indigo,2019-03-27,Kolkata,Banglore,09:35:00,12:20,165,0.0,No Info,4148
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,19:50,685,1.0,No Info,13941
Jet Airways,2019-03-09,Banglore,New Delhi,08:55:00,15:55,420,2.0,No Info,23001
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,12:35,810,2.0,No Info,15129
Indigo,2019-03-03,Delhi,Cochin,05:05:00,10:05,300,1.0,No Info,9581
Indigo,2019-06-06,Delhi,Cochin,05:05:00,16:10,665,1.0,No Info,6818
Vistara,2019-05-18,Banglore,Delhi,21:00:00,23:50,170,0.0,No Info,4668
Spicejet,2019-04-21,Kolkata,Banglore,06:55:00,09:30,155,0.0,No Info,4174
Indigo,2019-06-24,Kolkata,Banglore,09:35:00,12:20,165,0.0,No Info,4804
Vistara,2019-04-12,Banglore,Delhi,07:00:00,09:40,160,0.0,No Info,5403
Indigo,2019-06-27,Chennai,Kolkata,11:35:00,14:00,145,0.0,No Info,3858
Spicejet,2019-03-21,Kolkata,Banglore,09:00:00,11:30,150,0.0,No check-in baggage included,3815
Indigo,2019-05-06,Kolkata,Banglore,21:25:00,00:05,160,0.0,No Info,4804
Indigo,2019-06-01,Banglore,Delhi,21:15:00,00:15,180,0.0,No Info,3943
Jet Airways,2019-05-15,Mumbai,Hyderabad,02:55:00,04:20,85,0.0,No Info,5678
Spicejet,2019-05-21,Banglore,Delhi,05:55:00,08:35,160,0.0,No check-in baggage included,3257
Jet Airways,2019-06-12,Delhi,Cochin,06:45:00,04:25,1300,2.0,No Info,13376
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,10:05,1055,1.0,In-flight meal not included,8529
Multiple Carriers,2019-06-09,Delhi,Cochin,07:10:00,22:30,920,1.0,No Info,6513
Air India,2019-06-01,Delhi,Cochin,09:00:00,19:15,615,1.0,No Info,10454
Spicejet,2019-06-03,Mumbai,Hyderabad,22:45:00,00:15,90,0.0,No Info,2017
Indigo,2019-04-03,Banglore,Delhi,13:00:00,15:50,170,0.0,No Info,4077
Indigo,2019-05-27,Banglore,Delhi,18:25:00,21:20,175,0.0,No Info,4823
Multiple Carriers,2019-03-06,Delhi,Cochin,10:00:00,18:50,530,1.0,No Info,16497
Indigo,2019-06-03,Delhi,Cochin,14:20:00,22:30,490,1.0,No Info,6938
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,19:00,600,1.0,In-flight meal not included,10262
Vistara,2019-05-12,Kolkata,Banglore,07:10:00,18:50,700,1.0,No Info,8820
Multiple Carriers,2019-05-15,Delhi,Cochin,11:30:00,21:00,570,1.0,No Info,13727
Spicejet,2019-04-24,Banglore,Delhi,05:55:00,08:35,160,0.0,No check-in baggage included,3919
Air India,2019-03-21,Delhi,Cochin,06:05:00,09:25,1640,1.0,No Info,7532
Indigo,2019-05-15,Banglore,Delhi,08:30:00,11:20,170,0.0,No Info,4823
Multiple Carriers,2019-06-27,Delhi,Cochin,13:15:00,22:30,555,1.0,No Info,8018
Jet Airways,2019-05-09,Delhi,Cochin,11:30:00,12:35,1505,1.0,In-flight meal not included,12373
Air India,2019-03-03,Banglore,New Delhi,08:15:00,21:25,790,1.0,No Info,6781
Indigo,2019-03-03,Delhi,Cochin,08:35:00,21:20,765,2.0,No Info,8049
Indigo,2019-04-01,Kolkata,Banglore,15:30:00,18:05,155,0.0,No Info,4174
Air India,2019-03-01,Banglore,New Delhi,08:50:00,23:55,2345,2.0,No Info,17135
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,12:15,1475,1.0,In-flight meal not included,7832
Spicejet,2019-04-12,Banglore,Delhi,09:30:00,12:20,170,0.0,No Info,4991
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,08:15,1430,1.0,No Info,13941
Jet Airways,2019-04-06,Delhi,Cochin,07:05:00,12:35,330,1.0,In-flight meal not included,5406
Indigo,2019-03-18,Chennai,Kolkata,13:20:00,15:35,135,0.0,No Info,3858
Jet Airways,2019-05-09,Delhi,Cochin,21:50:00,12:35,885,1.0,In-flight meal not included,12373
